"","survey","nDetections","sppRichness","sppShannonDiv","sppShannonEven","sppSimpsonDiv","funRich","funDiverg","funEve","city","year","prcnt_park_area","park_EIratio","park_clumpy","effort","Pop.Dens","regional.C","average forage","forage generalist","forage specialist","average diet","diet generalist","diet specialist","average clutch","large clutch","small clutch","average mass","large mass","average range","large range","small range"
"35","PA1915",189,10,1.66880468021495,0.724752663991675,0.747683435514123,0.556324381070203,0.779556826049098,0.482258409609427,"PA",-1.53969895801938,-0.543500676663081,-0.193090705891552,0.122301582705719,-1.19246440013547,0.416221051109419,-0.192140653039407,133,56,0,189,0,0,189,0,0,189,0,189,0,0
"36","PA1920",791,28,2.1733442312403,0.652224143087193,0.781017803001849,9.259654876097,0.496591249704504,0.388980259402615,"PA",-1.37762538349102,-0.530150489661786,-0.277264516399332,0.235668615928134,-1.15627372704736,0.650351513759387,0.284506547998304,643,109,39,766,5,20,736,48,7,791,0,770,21,0
"37","PA1925",533,20,1.99772749144659,0.666857819399391,0.770427577273319,6.53356029990548,0.542726835565269,0.47264026053345,"PA",-1.21555180896267,-0.300100067255472,-0.125594720527515,0.351866288338978,-1.18442202833811,1.00076014952748,0.124973004382002,402,115,16,522,4,7,507,22,4,533,0,527,4,2
"38","PA1930",490,18,2.00692358951453,0.694347910102513,0.805156184922949,3.41874346727776,0.867286873256302,0.568092048063203,"PA",-1.05347823443431,0.0453493715900353,0.182397553119172,-0.0538658579874834,-1.18844321423679,1.35116878529558,0.3552700837445,393,97,0,431,59,0,490,0,0,490,0,434,56,0
"39","PA1935",3464,22,2.14427092971063,0.693704781498859,0.842979788147571,7.15869098280692,0.718067890622596,0.29670448752187,"PA",-0.891404659905954,0.00647362704226435,-0.61558047208214,0.48653899550468,-1.04368052188436,1.35909097773838,-0.00436123249054802,2586,761,117,2972,487,5,3342,121,1,3464,0,1959,1505,0
"40","PA1940",4513,24,1.84022207259252,0.579040560930665,0.708009542219638,9.5568869183997,0.857155921678304,0.304251015031322,"PA",-0.729331085377599,-0.115066475417525,-0.466123074217032,0.401792663241808,-1.01151103469493,1.36701317018118,0.00588083270014006,3836,564,113,2177,2319,17,4383,129,1,4513,0,1632,2881,0
"41","PA1945",5946,31,2.06466822214509,0.601245170467851,0.78499567075764,11.8292811215435,0.845739021064234,0.246731824582945,"PA",-0.567257510849244,-0.0909827380671884,0.312094535487764,0.187342681651157,-0.56918058584026,1.38914971985713,0.313690798716553,5039,733,174,3400,2535,11,5639,304,3,5946,0,2326,3620,0
"42","PA1950",3278,39,2.55990247075262,0.698746934818749,0.891298731611003,13.6293249372412,0.716510198470327,0.421545077393366,"PA",-0.405183936320888,-0.122435778642239,0.0801380289201977,0.0938018193995335,-1.02357459239096,1.41128626953308,0.266772596645253,2732,484,62,2579,681,18,3139,138,1,3278,0,1952,1326,0
"43","PA1955",10392,56,2.66384845203766,0.661767879355447,0.902328529199639,30.1201509884324,0.75651262561586,0.309781146275533,"PA",-0.243110361792533,0.00300257842192757,-0.491744874694659,0.435584009217903,-0.794366996166272,1.09958541443014,-0.00291723135928248,8740,1440,212,7503,2856,33,8636,1727,29,10389,3,5386,5004,2
"44","PA1960",26855,74,2.72378857526937,0.632840934392476,0.891906121543872,27.7464197652542,0.813351419393769,0.31903021732411,"PA",-0.0810367872641777,-0.225766226032262,-0.6491691265744,0.587155375906118,-0.476693310170648,0.787884559327202,-0.439415668993588,22414,3793,648,18232,8535,88,23214,3339,302,26728,127,13623,13230,2
