name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,region
University of Southern Maine,Maine,ME,Public,4 Year,9450,9520,18970,22780,32230,9,46900,81300,55,8,Northeast
University of Southern Mississippi,Mississippi,MS,Public,4 Year,9857,8734,18591,10734,20591,4,45100,83900,56,11,South
University of the Cumberlands,Kentucky,KY,Private,4 Year,9000,23000,32000,23000,32000,17,39800,73800,63,8,South
University of the Ozarks,Arkansas,AR,Private,4 Year,7400,24230,31630,24230,31630,14,42300,74500,58,16,South
University of the Sciences,Pennsylvania,PA,Private,4 Year,15938,25000,40938,25000,40938,8,60700,115200,72,12,Northeast
University of Toledo,Ohio,OH,Public,4 Year,11434,9795,21229,19133,30567,18,51800,92500,52,21,North Central
University of Tulsa,Oklahoma,OK,Private,4 Year,11116,41509,52625,41509,52625,1,58700,107200,51,36,South
University of Utah,Utah,UT,Public,4 Year,10262,9222,19484,29215,39477,2,54800,102600,57,22,West
University of Vermont,Vermont,VT,Public,4 Year,12462,18276,30738,42516,54978,2,53200,99400,50,22,Northeast
University of Virginia,Virginia,VA,Public,4 Year,11590,17564,29154,48465,60055,3,64500,117500,46,23,South
University of Washington,Washington,WA,Public,4 Year,12798,11517,24315,36898,49696,2,61900,112300,51,34,West
University of Washington,Washington,WA,Public,4 Year,12798,11517,24315,36898,49696,3,60200,108000,53,26,West
University of Washington,Washington,WA,Public,4 Year,12798,11517,24315,36898,49696,12,56000,96800,50,23,West
University of West Alabama,Alabama,AL,Public,4 Year,8116,10040,18156,18490,26606,17,42700,76100,61,4,South
University of West Georgia,Georgia,GA,Public,4 Year,10918,7292,18210,20774,31692,15,46700,82700,51,9,South
University of Wyoming,Wyoming,WY,Public,4 Year,10320,5400,15720,17490,27810,1,52400,98800,58,25,West
Upper Iowa University,Iowa,IA,Private,4 Year,8454,30450,38904,30450,38904,24,44200,78000,56,3,North Central
Ursinus College,Pennsylvania,PA,Private,4 Year,12750,52050,64800,52050,64800,18,54400,101800,42,40,Northeast
Utah State University,Utah,UT,Public,4 Year,6400,7424,13824,21505,27905,4,52400,93900,61,14,West
Utah Valley University,Utah,UT,Public,4 Year,NA,5726,5726,16296,16296,7,51100,90600,57,12,West
Valdosta State University,Georgia,GA,Public,4 Year,8110,7476,15586,20958,29068,19,43400,81000,57,7,South
