name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,region
Tennessee State University,Tennessee,TN,Public,4 Year,7806,8008,15814,21364,29170,19,47200,78400,68,14,South
Tennessee Technological University,Tennessee,TN,Public,4 Year,9736,9103,18839,25759,35495,6,53100,95100,48,28,South
Texas A&M University,Texas,TX,Public,4 Year,10436,10968,21404,36442,46878,3,60600,115700,53,30,South
Texas A&M University,Texas,TX,Public,4 Year,10436,10968,21404,36442,46878,20,53100,97500,63,53,South
Texas Christian University,Texas,TX,Private,4 Year,12804,46950,59754,46950,59754,19,56000,98700,51,9,South
Texas Tech University,Texas,TX,Public,4 Year,9530,11045,20575,23495,33025,7,56800,106500,54,22,South
Texas Tech University Health Sciences Center,Texas,TX,Public,4 Year,NA,7911,7911,20361,20361,8,61300,104900,86,3,South
The College of New Jersey,New Jersey,NJ,Public,4 Year,13617,16551,30168,28266,41883,6,58200,101800,44,16,Northeast
The King's University,Texas,TX,Private,4 Year,NA,15000,15000,15000,15000,2,63800,116500,33,0,South
Thomas College,Maine,ME,Private,4 Year,11250,26900,38150,26900,38150,8,46100,81500,49,3,Northeast
Thomas Edison State University,New Jersey,NJ,Public,4 Year,NA,7519,7519,9967,9967,13,52500,95600,54,0,Northeast
Thomas More College,Kentucky,KY,Private,4 Year,7950,31120,39070,31120,39070,2,50000,90900,56,8,South
Thomas More College of Liberal Arts,New Hampshire,NH,Private,4 Year,9700,21600,31300,21600,31300,5,48900,88300,NA,0,Northeast
Tougaloo College,Mississippi,MS,Private,4 Year,6643,10790,17433,10790,17433,12,36900,66400,69,18,South
Towson University,Maryland,MD,Public,4 Year,13034,9940,22974,23208,36242,16,51200,91200,47,15,South
Transylvania University,Kentucky,KY,Private,4 Year,10460,38750,49210,38750,49210,7,47900,85600,51,25,South
Trevecca Nazarene University,Tennessee,TN,Private,4 Year,8400,25598,33998,25598,33998,14,45300,81700,65,5,South
