institution_name,city,state,type,division,region,expenditure_m,enrollment_th
Bethune-Cookman University,Daytona Beach,FL,Private,Division I,South,2.344268,2.336
Lynn University,Boca Raton,FL,Private,Division II,South,1.158947,2.622
University of Central Florida,Orlando,FL,Public,Division I,South,10.620181,41.433
Eckerd College,Saint Petersburg,FL,Private,Division II,South,1.588473,1.925
Edward Waters University,Jacksonville,FL,Private,Division II,South,0.922492,1.092
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,Private,Division II,South,2.836108,7.178
Florida Agricultural and Mechanical University,Tallahassee,FL,Public,Division I,South,1.696698,6.755
Florida Atlantic University,Boca Raton,FL,Public,Division I,South,7.369106,17.18
Flagler College,Saint Augustine,FL,Private,Division II,South,1.397215,2.346
Florida Institute of Technology,Melbourne,FL,Private,Division II,South,1.54968,3.12
Florida International University,Miami,FL,Public,Division I,South,4.202104,25.091
Florida Southern College,Lakeland,FL,Private,Division II,South,2.075974,2.526
Florida State University,Tallahassee,FL,Public,Division I,South,16.650338,28.87
University of Florida,Gainesville,FL,Public,Division I,South,14.955598,31.254
Jacksonville University,Jacksonville,FL,Private,Division I,South,4.376565,2.453
University of Miami,Coral Gables,FL,Private,Division I,South,22.599669,12.224
University of North Florida,Jacksonville,FL,Public,Division I,South,3.393663,10.671
Nova Southeastern University,Fort Lauderdale,FL,Private,Division II,South,1.876471,6.701
Palm Beach Atlantic University,West Palm Beach,FL,Private,Division II,South,1.279035,2.314
Rollins College,Winter Park,FL,Private,Division II,South,1.911554,2.526
Saint Leo University,Saint Leo,FL,Private,Division II,South,1.249176,4.112
University of South Florida,Tampa,FL,Public,Division I,South,13.936793,30.009
Stetson University,DeLand,FL,Private,Division I,South,4.705323,2.252
The University of Tampa,Tampa,FL,Private,Division II,South,2.111234,9.918
The University of West Florida,Pensacola,FL,Public,Division II,South,1.309075,6.466
Albany State University,Albany,GA,Public,Division II,South,0.531443,4.325
Clark Atlanta University,Atlanta,GA,Private,Division II,South,1.243743,3.393
Berry College,Mount Berry,GA,Private,Division III,South,0.541073,2.194
Clayton  State University,Morrow,GA,Public,Division II,South,0.8604,2.788
Columbus State University,Columbus,GA,Public,Division II,South,0.801786,4.028
Covenant College,Lookout Mountain,GA,Private,Division III,South,0.324274,0.847
Emmanuel University,Franklin Springs,GA,Private,Division II,South,1.149455,0.7
Emory University,Atlanta,GA,Private,Division III,South,1.023785,7.199
Fort Valley State University,Fort Valley,GA,Public,Division II,South,0.61707,2.286
Georgia Institute of Technology-Main Campus,Atlanta,GA,Public,Division I,South,16.147645,17.083
Georgia Southwestern State University,Americus,GA,Public,Division II,South,0.793668,1.711
Georgia College & State University,Milledgeville,GA,Public,Division II,South,0.579851,5.217
Georgia Southern University,Statesboro,GA,Public,Division I,South,3.938035,18.016
Georgia State University,Atlanta,GA,Public,Division I,South,4.674628,20.869
University of Georgia,Athens,GA,Public,Division I,South,16.983707,29.715
LaGrange College,Lagrange,GA,Private,Division III,South,0.271794,0.561
Mercer University,Macon,GA,Private,Division I,South,4.390222,4.124
Oglethorpe University,Atlanta,GA,Private,Division III,South,0.420743,1.398
Piedmont University,Demorest,GA,Private,Division III,South,0.458099,1.171
Savannah State University,Savannah,GA,Public,Division II,South,0.52739,2.415
Shorter University,Rome,GA,Private,Division II,South,0.885736,1.023
Valdosta State University,Valdosta,GA,Public,Division II,South,1.030551,5.401
University of West Georgia,Carrollton,GA,Public,Division II,South,1.470239,5.825
Young Harris College,Young Harris,GA,Private,Division II,South,1.012827,0.807
Chaminade University of Honolulu,Honolulu,HI,Private,Division II,West,1.066891,1.395
University of Hawaii at Hilo,Hilo,HI,Public,Division II,West,1.140781,1.821
University of Hawaii at Manoa,Honolulu,HI,Public,Division I,West,6.222157,11.928
Hawaii Pacific University,Honolulu,HI,Private,Division II,West,1.110671,2.098
Boise State University,Boise,ID,Public,Division I,West,8.001777,13.589
Idaho State University,Pocatello,ID,Public,Division I,West,3.116553,5.77
University of Idaho,Moscow,ID,Public,Division I,West,3.191202,6.864
Northwest Nazarene University,Nampa,ID,Private,Division II,West,1.457291,1.006
Augustana College,Rock Island,IL,Private,Division III,North Central,0.459109,2.402
Aurora University,Aurora,IL,Private,Division III,North Central,0.409378,3.704
Blackburn College,Carlinville,IL,Private,Division III,North Central,0.321772,0.335
Bradley University,Peoria,IL,Private,Division I,North Central,5.589208,3.763
Chicago State University,Chicago,IL,Public,Division I,North Central,1.607866,0.981
University of Chicago,Chicago,IL,Private,Division III,North Central,1.004055,7.54
Concordia University-Chicago,River Forest,IL,Private,Division III,North Central,0.36085,1.183
DePaul University,Chicago,IL,Private,Division I,North Central,15.855374,13.339
Eastern Illinois University,Charleston,IL,Public,Division I,North Central,2.425491,3.893
Elmhurst University,Elmhurst,IL,Private,Division III,North Central,0.549878,2.89
Eureka College,Eureka,IL,Private,Division III,North Central,0.249468,0.508
Greenville University,Greenville,IL,Private,Division III,North Central,0.204291,0.816
University of Illinois Chicago,Chicago,IL,Public,Division I,North Central,6.15596,19.781
Benedictine University,Lisle,IL,Private,Division III,North Central,0.810548,1.644
University of Illinois Urbana-Champaign,Champaign,IL,Public,Division I,North Central,25.536414,33.994
Illinois Wesleyan University,Bloomington,IL,Private,Division III,North Central,0.540033,1.566
Illinois College,Jacksonville,IL,Private,Division III,North Central,0.409238,0.902
Illinois Institute of Technology,Chicago,IL,Private,Division III,North Central,0.317821,2.626
Illinois State University,Normal,IL,Public,Division I,North Central,4.702435,17.404
Knox College,Galesburg,IL,Private,Division III,North Central,0.492911,0.995
Lake Forest College,Lake Forest,IL,Private,Division III,North Central,0.270558,1.758
Lewis University,Romeoville,IL,Private,Division II,North Central,1.394683,3.151
Loyola University Chicago,Chicago,IL,Private,Division I,North Central,9.083706,11.098
McKendree University,Lebanon,IL,Private,Division II,North Central,1.294861,1.487
Millikin University,Decatur,IL,Private,Division III,North Central,0.455699,1.399
Monmouth College,Monmouth,IL,Private,Division III,North Central,0.193074,0.723
North Central College,Naperville,IL,Private,Division III,North Central,0.452574,2.325
North Park University,Chicago,IL,Private,Division III,North Central,0.575847,1.732
Northern Illinois University,Dekalb,IL,Public,Division I,North Central,4.399287,9.895
Northwestern University,Evanston,IL,Private,Division I,North Central,19.984728,8.732
Quincy University,Quincy,IL,Private,Division II,North Central,1.36299,1.011
Rockford University,Rockford,IL,Private,Division III,North Central,0.32559,0.888
University of Illinois Springfield,Springfield,IL,Public,Division II,North Central,0.932611,1.633
Southern Illinois University-Carbondale,Carbondale,IL,Public,Division I,North Central,5.026321,6.845
Southern Illinois University-Edwardsville,Edwardsville,IL,Public,Division I,North Central,2.468058,7.505
Western Illinois University,Macomb,IL,Public,Division I,North Central,2.579944,4.252
Wheaton College,Wheaton,IL,Private,Division III,North Central,0.502691,2.043
Anderson University,Anderson,IN,Private,Division III,North Central,0.375264,1.016
Ball State University,Muncie,IN,Public,Division I,North Central,4.744867,12.857
Butler University,Indianapolis,IN,Private,Division I,North Central,11.52014,4.313
DePauw University,Greencastle,IN,Private,Division III,North Central,0.666816,1.789
Earlham College,Richmond,IN,Private,Division III,North Central,0.310713,0.608
University of Evansville,Evansville,IN,Private,Division I,North Central,4.999097,1.44
Franklin College,Franklin,IN,Private,Division III,North Central,0.255022,0.865
Hanover College,Hanover,IN,Private,Division III,North Central,0.477378,0.952
Purdue University Fort Wayne,Fort Wayne,IN,Public,Division I,North Central,4.058702,4.596
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,Public,Division I,North Central,3.961261,14.27
University of Indianapolis,Indianapolis,IN,Private,Division II,North Central,1.860971,2.958
University of Southern Indiana,Evansville,IN,Public,Division II,North Central,2.502245,4.748
Indiana State University,Terre Haute,IN,Public,Division I,North Central,4.074983,5.578
Indiana University-Bloomington,Bloomington,IN,Public,Division I,North Central,29.127666,35.754
Manchester University,North Manchester,IN,Private,Division III,North Central,0.280768,0.888
University of Notre Dame,Notre Dame,IN,Private,Division I,North Central,20.592084,8.909
Rose-Hulman Institute of Technology,Terre Haute,IN,Private,Division III,North Central,0.455887,2.206
Trine University,Angola,IN,Private,Division III,North Central,0.788003,2.313
Valparaiso University,Valparaiso,IN,Private,Division I,North Central,4.757081,2.196
Buena Vista University,Storm Lake,IA,Private,Division III,North Central,0.474451,1.215
Central College,Pella,IA,Private,Division III,North Central,0.440898,1.04
Coe College,Cedar Rapids,IA,Private,Division III,North Central,0.329106,1.233
Cornell College,Mount Vernon,IA,Private,Division III,North Central,0.417933,1.071
Drake University,Des Moines,IA,Private,Division I,North Central,7.075974,2.602
University of Dubuque,Dubuque,IA,Private,Division III,North Central,0.567969,1.255
Grinnell College,Grinnell,IA,Private,Division III,North Central,0.34482,1.702
Iowa State University,Ames,IA,Public,Division I,North Central,15.020991,24.038
University of Iowa,Iowa City,IA,Public,Division I,North Central,21.717974,20.492
Loras College,Dubuque,IA,Private,Division III,North Central,0.630736,1.059
Luther College,Decorah,IA,Private,Division III,North Central,0.276368,1.44
University of Northern Iowa,Cedar Falls,IA,Public,Division I,North Central,4.563252,6.97
Simpson College,Indianola,IA,Private,Division III,North Central,0.415547,1.09
Upper Iowa University,Fayette,IA,Private,Division II,North Central,0.99672,1.153
Wartburg College,Waverly,IA,Private,Division III,North Central,0.444905,1.413
Emporia State University,Emporia,KS,Public,Division II,North Central,1.655802,2.172
Fort Hays State University,Hays,KS,Public,Division II,North Central,1.105208,4.504
