Student.ID,Grade,Gender,Race,Ethnicity.Hispanic.Y.N,ELL,Sped,Homeless,Free.Lunch,Migrant,Current.GPA,Number.of.Classes.Enrolled.in.for.the.school.year,Tracking.Pathway
6502,12,M,C,Hispanic,N,N,N,Y,N,2.957,7,NA
2460,12,M,C,Hispanic,N,N,N,Y,N,1.28,7,NA
237,11,F,C,Hispanic,Y,N,N,Y,N,2.9,7,NA
6976,12,M,C,Hispanic,N,N,N,Y,N,1.933,7,NA
5623,10,M,C,Hispanic,Y,Y,N,Y,N,1.938,7,y
9537,12,M,C,Hispanic,N,N,N,Y,N,1.543,7,NA
1349,11,M,C,Hispanic,N,Y,N,Y,N,1.7,7,NA
6328,11,F,C,Hispanic,N,N,N,Y,N,3.357,7,y
8712,12,F,C,Hispanic,N,N,N,Y,N,2,7,NA
4430,11,M,C,Hispanic,Y,N,N,Y,N,2.156,7,NA
2264,10,F,C,Hispanic,N,N,N,Y,N,2.625,7,y
7265,12,M,C,Hispanic,N,N,N,Y,N,2.935,7,NA
5283,12,M,C,Hispanic,N,N,N,Y,N,2.783,7,NA
8657,10,M,C,Hispanic,N,Y,N,Y,N,2.125,7,NA
2493,11,F,C,Hispanic,N,N,N,Y,N,1.844,7,NA
8787,12,F,C,Hispanic,Y,N,N,Y,N,1.682,7,NA
2117,12,M,C,Hispanic,N,Y,N,Y,N,2.4,7,NA
1110,12,M,C,Hispanic,N,N,N,Y,N,1.622,7,y
8729,12,F,C,Hispanic,Y,N,N,Y,N,2.304,7,NA
7378,12,F,C,Hispanic,N,N,N,Y,N,1.75,7,NA
2919,12,M,C,Hispanic,N,N,N,Y,N,1.455,7,NA
2489,11,M,C,Hispanic,Y,Y,N,Y,N,0.933,7,NA
7126,12,M,C,Hispanic,N,N,N,Y,N,3.045,7,NA
1204,12,M,C,Hispanic,N,N,N,Y,N,1.708,7,NA
2783,9,M,C,Hispanic,N,Y,N,Y,N,2,7,NA
1557,10,M,C,Hispanic,Y,Y,N,Y,N,2.063,7,NA
8604,12,F,C,Hispanic,Y,N,N,Y,N,1.536,7,NA
553,12,M,C,Hispanic,Y,N,N,Y,N,3.158,7,NA
7059,12,F,C,Hispanic,N,N,N,Y,N,3.477,7,NA
6943,11,M,C,Hispanic,N,N,N,Y,N,1.233,7,NA
3551,10,M,C,Hispanic,Y,Y,N,Y,N,1.625,7,NA
7605,10,M,C,Hispanic,Y,N,N,Y,N,2.125,7,NA
9456,11,M,C,Hispanic,Y,N,N,Y,N,0.967,7,NA
2621,9,F,C,Hispanic,Y,N,N,Y,N,2,7,NA
777,10,M,C,Hispanic,Y,N,N,Y,N,1.375,7,NA
4592,12,M,C,Hispanic,N,N,N,Y,N,2.5,7,NA
5583,12,F,C,Hispanic,N,N,N,Y,N,1.455,7,NA
4293,11,F,C,Hispanic,N,N,N,Y,N,1.533,7,y
955,10,M,C,Hispanic,Y,Y,N,Y,N,2,7,NA
8049,12,F,C,Hispanic,N,N,N,Y,N,3.909,7,NA
1083,10,M,C,Hispanic,Y,N,N,Y,N,2.5,7,NA
632,12,F,C,Hispanic,N,Y,N,Y,N,1.636,7,NA
6037,10,M,C,Hispanic,Y,Y,N,Y,N,2,7,NA
4994,9,M,C,Hispanic,N,N,N,Y,N,3,7,NA
925,9,F,C,Hispanic,Y,Y,N,Y,N,1,7,NA
6338,11,F,C,Hispanic,N,N,Y,Y,N,1.633,7,y
4689,9,M,C,Hispanic,N,Y,N,Y,N,NA,7,NA
1333,12,F,C,Hispanic,Y,Y,N,Y,N,3.545,7,NA
6696,9,M,C,Hispanic,Y,N,N,Y,N,1,7,NA
4669,9,M,C,Hispanic,N,N,N,Y,N,2,7,NA
2637,11,M,C,Hispanic,Y,Y,N,Y,N,2.967,7,NA
6861,12,F,C,Hispanic,N,N,N,Y,N,1.578,7,NA
2087,9,M,C,Hispanic,Y,Y,N,Y,N,2,7,NA
5015,9,F,C,Hispanic,Y,Y,N,Y,N,1,7,NA
4164,9,M,C,Hispanic,Y,N,N,Y,N,2,7,NA
239,9,M,C,Hispanic,Y,N,N,Y,N,1,7,NA
7482,11,M,C,Hispanic,N,N,N,Y,N,2.2,7,NA
3442,10,M,C,Hispanic,N,N,N,Y,N,1.813,7,NA
9898,9,M,C,Hispanic,N,Y,N,Y,N,1,7,NA
6716,12,M,C,Hispanic,Y,Y,N,Y,N,1.128,7,NA
7961,9,M,C,Hispanic,N,N,N,Y,N,2.333,7,NA
109,11,F,C,Hispanic,N,N,N,Y,N,3.167,7,y
8344,11,M,C,Hispanic,Y,Y,N,Y,N,1.967,7,NA
3972,10,M,C,Hispanic,N,N,N,Y,N,3.636,7,y
1185,12,F,C,Hispanic,N,N,N,Y,N,2.6,7,NA
304,12,F,C,Hispanic,N,N,N,Y,N,2.37,7,NA
7900,10,F,C,Hispanic,N,N,N,Y,N,2.375,7,NA
2489,11,M,C,Hispanic,Y,N,N,Y,N,0.933,7,NA
6981,11,M,C,Hispanic,N,N,N,Y,N,2.8,7,NA
9017,11,F,C,Hispanic,Y,N,N,Y,N,1.9,7,NA
9257,11,M,C,Hispanic,Y,N,N,Y,N,1.267,7,NA
1240,11,M,C,Hispanic,N,N,N,Y,N,3.867,7,NA
2222,11,M,C,Hispanic,Y,N,N,Y,N,2.281,7,NA
7164,11,M,C,Hispanic,N,N,N,Y,N,3.625,7,NA
